Date,Price,Open,High,Low,Vol.,Change %
02/19/2024,"60,459.74","59,444.46","60,504.48","59,191.85",126222530,0.98%
02/16/2024,"59,872.96","60,787.30","61,173.30","59,739.46",163233825,-1.88%
02/15/2024,"61,020.05","62,394.25","62,394.25","60,926.85",154596924,-1.82%
02/14/2024,"62,153.84","61,635.62","62,432.25","61,635.61",179310406,1.51%
02/13/2024,"61,226.92","60,536.13","61,654.65","59,613.17",253487196,0.26%
02/12/2024,"61,065.31","62,444.76","62,634.37","60,647.67",200894460,-2.98%
02/09/2024,"62,943.74","63,291.62","63,305.70","61,781.76",151778801,-1.87%
02/07/2024,"64,143.87","63,955.05","64,196.61","63,927.28",194653075,0.54%
02/06/2024,"63,799.01","63,178.09","63,885.09","63,176.96",167998130,1.26%
02/02/2024,"63,002.91","62,536.10","63,075.30","62,448.72",133234269,0.98%
02/01/2024,"62,393.73","62,054.25","62,480.23","61,764.69",138794235,0.67%
01/31/2024,"61,979.18","62,072.82","62,600.12","61,896.00",153557746,0.22%
01/30/2024,"61,841.74","62,799.23","63,074.50","61,637.62",233753017,-1.48%
01/29/2024,"62,773.72","63,792.84","63,792.84","62,717.71",162231924,-1.63%
01/26/2024,"63,813.06","64,220.91","64,534.29","63,743.40",212491251,-0.75%
01/25/2024,"64,298.00","64,918.32","65,213.61","64,180.44",290527031,-0.81%
01/24/2024,"64,822.43","64,569.49","65,063.08","64,460.94",278201516,0.57%
01/23/2024,"64,454.22","64,121.46","64,658.17","63,549.60",261063924,0.81%
01/22/2024,"63,939.41","63,354.43","64,090.88","63,139.72",197283355,1.04%
01/19/2024,"63,282.22","63,351.07","63,911.85","63,214.86",145873635,0.13%
01/18/2024,"63,202.40","63,579.97","63,579.96","62,528.55",235243488,-0.57%
01/17/2024,"63,567.33","63,692.22","64,043.86","63,290.18",249257124,-0.27%
01/16/2024,"63,737.46","64,246.68","64,246.67","63,397.94",234389148,-0.83%
01/15/2024,"64,269.37","64,885.15","65,173.87","64,130.95",235432382,-0.57%
01/12/2024,"64,637.63","64,917.06","65,356.85","64,491.08",402808230,0.03%
01/11/2024,"64,617.56","64,057.49","64,700.97","63,914.94",364838715,1.09%
01/10/2024,"63,919.84","64,234.83","64,550.94","63,873.63",336520914,-0.39%
01/09/2024,"64,170.57","64,536.58","64,786.35","63,878.21",253614365,-0.10%
01/08/2024,"64,237.02","64,684.23","65,069.43","64,183.52",314518273,-18.51%
